char,total_count,error_count,insertion_count,error_rate,was_inserted_only
्,1536,136,82,0.08854166666666667,False
र,1290,75,52,0.05813953488372093,False
ा,2151,47,67,0.02185030218503022,False
ं,237,46,23,0.1940928270042194,False
न,852,45,39,0.0528169014084507,False
.,568,41,25,0.0721830985915493,False
व,677,40,43,0.059084194977843424,False
ु,477,40,33,0.08385744234800839,False
द,447,39,20,0.087248322147651,False
ल,560,32,9,0.05714285714285714,False
य,541,27,27,0.04990757855822551,False
म,642,27,26,0.04205607476635514,False
स,662,26,18,0.03927492447129909,False
त,632,25,28,0.03955696202531646,False
ष,210,25,21,0.11904761904761904,False
ह,459,24,26,0.05228758169934641,False
च,124,24,13,0.1935483870967742,False
क,815,21,22,0.025766871165644172,False
ग,383,20,4,0.05221932114882506,False
े,437,19,23,0.043478260869565216,False
प,423,18,28,0.0425531914893617,False
ू,129,18,18,0.13953488372093023,False
ो,474,16,21,0.03375527426160337,False
श,184,14,12,0.07608695652173914,False
ज,366,14,11,0.03825136612021858,False
ि,895,13,9,0.01452513966480447,False
ँ,46,13,5,0.2826086956521739,False
थ,89,12,8,0.1348314606741573,False
भ,255,12,4,0.047058823529411764,False
इ,79,11,6,0.13924050632911392,False
उ,105,10,14,0.09523809523809523,False
ड,84,10,9,0.11904761904761904,False
।,50,10,7,0.2,False
ट,102,9,12,0.08823529411764706,False
आ,99,9,3,0.09090909090909091,False
ै,155,8,8,0.05161290322580645,False
ठ,47,8,6,0.1702127659574468,False
ढ,26,8,0,0.3076923076923077,False
ी,400,7,9,0.0175,False
छ,129,7,7,0.05426356589147287,False
ऊ,9,7,6,0.7777777777777778,False
ण,78,7,5,0.08974358974358974,False
ए,18,7,4,0.3888888888888889,False
अ,107,6,5,0.056074766355140186,False
ौ,33,6,1,0.18181818181818182,False
ः,12,5,1,0.4166666666666667,False
ध,106,4,9,0.03773584905660377,False
घ,34,4,5,0.11764705882352941,False
ञ,22,4,4,0.18181818181818182,False
1,62,4,4,0.06451612903225806,False
झ,15,4,1,0.26666666666666666,False
ब,18,4,1,0.2222222222222222,False
/,4,4,0,1.0,False
ऐ,5,4,0,0.8,False
फ,89,3,6,0.033707865168539325,False
ृ,20,3,3,0.15,False
6,17,3,1,0.17647058823529413,False
2,27,3,1,0.1111111111111111,False
ई,119,2,7,0.01680672268907563,False
॥,33,2,2,0.06060606060606061,False
3,13,2,1,0.15384615384615385,False
4,14,2,1,0.14285714285714285,False
ख,12,2,0,0.16666666666666666,False
7,15,2,0,0.13333333333333333,False
9,10,1,4,0.1,False
5,21,1,3,0.047619047619047616,False
8,25,1,3,0.04,False
0,14,1,1,0.07142857142857142,False
ओ,1,1,0,1.0,False
:,2,1,0,0.5,False
\,3,1,0,0.3333333333333333,False
ङ,5,1,0,0.2,False
औ,9,0,4,0.0,False
-,13,0,3,0.0,False
ऋ,1,0,0,0.0,False
