Page,Lines,Total Characters,Avg Line Length,Min Line Length,Max Line Length,Avg Width (px),Avg Height (px),Avg Aspect Ratio
11,19,1585,83.42105263157895,5,101,3069.2105263157896,154.94736842105263,19.73025668482539
12,18,1670,92.77777777777777,81,110,3189.3333333333335,158.33333333333334,20.529519134411302
13,18,1682,93.44444444444444,76,113,3186.1111111111113,150.72222222222223,21.27631821334095
14,19,1566,82.42105263157895,6,97,3011.157894736842,155.42105263157896,19.00952319671896
15,19,1611,84.78947368421052,1,102,3023.1052631578946,171.05263157894737,17.31300701148242
16,19,1571,82.6842105263158,4,94,3026.6315789473683,154.21052631578948,19.75913936315362
17,18,1536,85.33333333333333,71,101,3174.5,150.27777777777777,21.17720955803063
18,18,1538,85.44444444444444,69,100,3087.9444444444443,160.55555555555554,19.496854533947793
19,18,1368,76.0,70,87,3077.6666666666665,180.22222222222223,17.24407264946166
20,18,1464,81.33333333333333,71,94,3100.6111111111113,157.0,20.194217692298604
CA__The Cambridge Manuscript_Page_001,25,1722,68.88,3,97,1950.96,106.08,18.07496483585888
CA__The Cambridge Manuscript_Page_002,23,1594,69.30434782608695,3,99,2549.6521739130435,129.95652173913044,18.42228724692756
CA__The Cambridge Manuscript_Page_003,24,1619,67.45833333333333,2,92,1902.9583333333333,112.54166666666667,16.24986146281101
CA__The Cambridge Manuscript_Page_004,20,1519,75.95,4,96,2897.45,170.5,16.715823206911082
CA__The Cambridge Manuscript_Page_005,20,1527,76.35,4,96,2888.0,156.85,18.258075860839696
CA__The Cambridge Manuscript_Page_006,19,1465,77.10526315789474,5,94,2995.6315789473683,159.10526315789474,18.82042767376103
CA__The Cambridge Manuscript_Page_007,23,1491,64.82608695652173,4,94,2544.304347826087,166.91304347826087,14.419152140217882
CA__The Cambridge Manuscript_Page_008,20,1467,73.35,5,90,2909.15,159.3,18.382817887755536
CA__The Cambridge Manuscript_Page_009,20,1630,81.5,4,104,2934.2,163.95,17.525545027302595
CA__The Cambridge Manuscript_Page_010,21,1595,75.95238095238095,2,98,2801.095238095238,162.66666666666666,16.781880615116776
CA__The Cambridge Manuscript_Page_021,23,1505,65.43478260869566,2,97,2425.4347826086955,151.82608695652175,15.198494080443457
CA__The Cambridge Manuscript_Page_022,21,1464,69.71428571428571,2,89,2634.4285714285716,148.8095238095238,17.28774463984279
DNA_0001_0006,25,1633,65.32,7,90,479.44,50.68,10.127779217643457
DNA_0001_0167,23,1620,70.43478260869566,5,93,597.5217391304348,50.130434782608695,12.197345554996536
DNA_0001_0177,16,1116,69.75,5,95,525.5625,47.875,11.00682386534869
DNA_0001_0202,6,265,44.166666666666664,5,88,405.0,52.0,7.044823487915594
DNA_0001_0367,46,2872,62.43478260869565,1,81,510.3695652173913,56.06521739130435,9.107287750893892
DNA_0001_0368,50,3334,66.68,13,81,531.22,57.68,9.35597720654993
DNA_0003_0551,26,1288,49.53846153846154,3,66,394.65384615384613,47.96153846153846,8.20828225347278
DNA_0010_0668,8,425,53.125,38,64,630.75,71.875,9.128910326998334
DNA_0011_0647,12,526,43.833333333333336,2,78,422.3333333333333,52.916666666666664,8.126265186171997
DNA_0012_0006,29,1838,63.37931034482759,2,82,672.7241379310345,59.93103448275862,11.496920436189138
DNA_0012_0007,53,3512,66.26415094339623,37,81,737.0943396226415,58.79245283018868,12.789386815715654
DNA_0012_0519,17,648,38.11764705882353,11,54,495.3529411764706,70.6470588235294,7.3355971641504665
DNA_0012_0638,12,497,41.416666666666664,6,62,489.75,71.75,6.952091617256028
DNA_0013_0160,33,2673,81.0,1,162,716.969696969697,63.42424242424242,9.410319809972492
DNA_0013_0165,24,2398,99.91666666666667,12,129,983.0416666666666,72.54166666666667,13.307809265310503
DNA_0013_0333,22,1574,71.54545454545455,10,95,614.5,52.18181818181818,11.799403897595324
DNA_0013_0365,9,362,40.22222222222222,4,62,391.22222222222223,56.666666666666664,6.660170944287298
DNA_0013_0376,9,385,42.77777777777778,16,55,422.44444444444446,52.333333333333336,8.34547420503762
DNA_0013_0382,31,1272,41.03225806451613,21,63,446.03225806451616,75.83870967741936,5.75846605242201
DNA_0013_0427,14,468,33.42857142857143,2,46,477.7857142857143,55.5,8.375775783777788
DNA_0013_0433,11,504,45.81818181818182,5,70,395.27272727272725,58.45454545454545,7.279821831702185
DNA_0013_0439,7,316,45.142857142857146,16,67,537.7142857142857,49.857142857142854,11.027980272306957
DNA_0013_0472,21,1894,90.19047619047619,1,120,999.6190476190476,87.80952380952381,11.172872447684549
DNA_0013_0522,24,2325,96.875,14,117,1155.125,61.291666666666664,19.746705363550912
DNA_0014_0135,14,717,51.214285714285715,12,68,495.2142857142857,60.5,8.327754768079433
DNA_0014_0242,23,959,41.69565217391305,9,55,616.0,70.08695652173913,8.661447223981277
DNA_0014_0296,14,744,53.142857142857146,17,70,537.4285714285714,67.21428571428571,7.892760331648458
DNA_0014_0296 zuschn,15,728,48.53333333333333,16,70,491.93333333333334,58.93333333333333,8.043134492713289
DNA_0015_0290,12,912,76.0,38,93,669.75,59.25,11.481145993830792
DNA_015_033___1,18,1143,63.5,17,77,1608.0555555555557,154.5,10.641103378190602
DNA_14_00000283,9,503,55.888888888888886,15,71,1263.5555555555557,125.66666666666667,10.025048932823548
DNA_1_00000026,11,742,67.45454545454545,5,98,1995.6363636363637,165.27272727272728,12.212571908016104
DNA_1_00000054,28,1972,70.42857142857143,5,85,1949.1785714285713,140.96428571428572,13.843405171834968
DNA_1_00000116,16,1149,71.8125,5,92,2089.75,131.4375,16.3055850869752
DNA_1_00000137,19,1247,65.63157894736842,30,77,1326.3157894736842,142.73684210526315,9.431192205909909
DNA_1_00000212,6,832,138.66666666666666,125,147,1726.8333333333333,96.66666666666667,17.95982170433937
DNA_1_00000285,35,1350,38.57142857142857,4,54,1166.6,133.62857142857143,8.767181839808229
DNA_1_00000316,10,575,57.5,16,74,1602.2,144.3,11.334171143678722
DNA_1_00000321,11,507,46.09090909090909,5,55,1682.4545454545455,161.9090909090909,10.571191707862463
DNA_1_00000356,12,396,33.0,6,58,1129.4166666666667,152.25,6.9903050710421555
DNA_1_00000404,24,1742,72.58333333333333,6,102,1263.5416666666667,116.91666666666667,10.757877718160088
DNA_1_00000410,32,1293,40.40625,1,52,1144.75,119.65625,10.630095988698654
DNA_1_00000496,22,890,40.45454545454545,1,86,955.0909090909091,138.22727272727272,6.876801858335965
DNA_1_00000523,16,531,33.1875,5,49,1240.375,158.1875,7.6840907922565105
DNA_1_00000631,25,982,39.28,6,48,1349.72,168.52,8.095551003934915
DNA_2_00000030_result,14,847,60.5,6,72,1903.142857142857,164.85714285714286,11.549784216916953
DNA_2_00000036_result,18,1082,60.111111111111114,3,82,1440.5,134.5,10.739489141341581
DNA_2_00000051_result,22,1169,53.13636363636363,6,60,1851.7727272727273,194.54545454545453,9.667549898628089
DNA_2_00000095_result,23,756,32.869565217391305,5,47,1134.0869565217392,160.52173913043478,7.035826011729596
DNA_2_00000110_result,20,1422,71.1,5,96,1954.0,166.35,11.456193370281003
DNA_2_00000115_result,14,816,58.285714285714285,7,70,1782.642857142857,145.78571428571428,12.593292663768645
DNA_2_00000126_result,14,763,54.5,2,78,1661.5714285714287,164.28571428571428,9.966111116274712
DNA_2_00000161_result,21,889,42.333333333333336,3,65,1351.2857142857142,142.14285714285714,9.46702838717756
DNA_2_00000224_result,12,657,54.75,7,72,1520.75,151.66666666666666,10.508567787480589
DNA_2_00000264_result,26,1437,55.26923076923077,5,77,1929.6923076923076,250.46153846153845,7.48649300818117
DNA_2_00000293_result,53,2425,45.75471698113208,3,72,1303.3207547169811,110.62264150943396,11.922139492796404
DNA_2_00000327_result,41,3804,92.78048780487805,18,107,1724.5121951219512,97.46341463414635,18.060367182614485
DNA_2_00000365_result,13,517,39.76923076923077,6,64,1201.6153846153845,205.6153846153846,5.70234142948701
DNA_2_00000394_result,41,2204,53.75609756097561,3,66,1564.0243902439024,118.2439024390244,13.277840260095964
