Page,Lines,Total Characters,Avg Line Length,Min Line Length,Max Line Length
11,19,1585,83.42105263157895,5,101
12,18,1670,92.77777777777777,81,110
13,18,1682,93.44444444444444,76,113
14,19,1566,82.42105263157895,6,97
15,19,1611,84.78947368421052,1,102
16,19,1571,82.6842105263158,4,94
17,18,1536,85.33333333333333,71,101
18,18,1538,85.44444444444444,69,100
19,18,1368,76.0,70,87
20,18,1464,81.33333333333333,71,94
CA__The Cambridge Manuscript_Page_001,25,1722,68.88,3,97
CA__The Cambridge Manuscript_Page_002,23,1594,69.30434782608695,3,99
CA__The Cambridge Manuscript_Page_003,24,1619,67.45833333333333,2,92
CA__The Cambridge Manuscript_Page_004,20,1519,75.95,4,96
CA__The Cambridge Manuscript_Page_005,20,1527,76.35,4,96
CA__The Cambridge Manuscript_Page_006,19,1465,77.10526315789474,5,94
CA__The Cambridge Manuscript_Page_007,23,1491,64.82608695652173,4,94
CA__The Cambridge Manuscript_Page_008,20,1467,73.35,5,90
CA__The Cambridge Manuscript_Page_009,20,1630,81.5,4,104
CA__The Cambridge Manuscript_Page_010,21,1595,75.95238095238095,2,98
CA__The Cambridge Manuscript_Page_021,23,1505,65.43478260869566,2,97
CA__The Cambridge Manuscript_Page_022,21,1464,69.71428571428571,2,89
DNA_0001_0006,25,1633,65.32,7,90
DNA_0001_0167,23,1620,70.43478260869566,5,93
DNA_0001_0177,16,1116,69.75,5,95
DNA_0001_0202,6,265,44.166666666666664,5,88
DNA_0001_0367,46,2872,62.43478260869565,1,81
DNA_0001_0368,50,3334,66.68,13,81
DNA_0003_0551,26,1288,49.53846153846154,3,66
DNA_0010_0668,8,425,53.125,38,64
DNA_0011_0647,12,526,43.833333333333336,2,78
DNA_0012_0006,29,1838,63.37931034482759,2,82
DNA_0012_0007,53,3512,66.26415094339623,37,81
DNA_0012_0519,17,648,38.11764705882353,11,54
DNA_0012_0638,12,497,41.416666666666664,6,62
DNA_0013_0160,33,2673,81.0,1,162
DNA_0013_0165,24,2398,99.91666666666667,12,129
DNA_0013_0333,22,1574,71.54545454545455,10,95
DNA_0013_0365,9,362,40.22222222222222,4,62
DNA_0013_0376,9,385,42.77777777777778,16,55
DNA_0013_0382,31,1272,41.03225806451613,21,63
DNA_0013_0427,14,468,33.42857142857143,2,46
DNA_0013_0433,11,504,45.81818181818182,5,70
DNA_0013_0439,7,316,45.142857142857146,16,67
DNA_0013_0472,21,1894,90.19047619047619,1,120
DNA_0013_0522,24,2325,96.875,14,117
DNA_0014_0135,14,717,51.214285714285715,12,68
DNA_0014_0242,23,959,41.69565217391305,9,55
DNA_0014_0296,14,744,53.142857142857146,17,70
DNA_0014_0296 zuschn,15,728,48.53333333333333,16,70
DNA_0015_0290,12,912,76.0,38,93
DNA_015_033___1,18,1143,63.5,17,77
DNA_14_00000283,9,503,55.888888888888886,15,71
DNA_1_00000026,11,742,67.45454545454545,5,98
DNA_1_00000054,28,1972,70.42857142857143,5,85
DNA_1_00000116,16,1149,71.8125,5,92
DNA_1_00000137,19,1247,65.63157894736842,30,77
DNA_1_00000212,6,832,138.66666666666666,125,147
DNA_1_00000285,35,1350,38.57142857142857,4,54
DNA_1_00000316,10,575,57.5,16,74
DNA_1_00000321,11,507,46.09090909090909,5,55
DNA_1_00000356,12,396,33.0,6,58
DNA_1_00000404,24,1742,72.58333333333333,6,102
DNA_1_00000410,32,1293,40.40625,1,52
DNA_1_00000496,22,890,40.45454545454545,1,86
DNA_1_00000523,16,531,33.1875,5,49
DNA_1_00000631,25,982,39.28,6,48
DNA_2_00000030_result,14,847,60.5,6,72
DNA_2_00000036_result,18,1082,60.111111111111114,3,82
DNA_2_00000051_result,22,1169,53.13636363636363,6,60
DNA_2_00000095_result,23,756,32.869565217391305,5,47
DNA_2_00000110_result,20,1422,71.1,5,96
DNA_2_00000115_result,14,816,58.285714285714285,7,70
DNA_2_00000126_result,14,763,54.5,2,78
DNA_2_00000161_result,21,889,42.333333333333336,3,65
DNA_2_00000224_result,12,657,54.75,7,72
DNA_2_00000264_result,26,1437,55.26923076923077,5,77
DNA_2_00000293_result,53,2425,45.75471698113208,3,72
DNA_2_00000327_result,41,3804,92.78048780487805,18,107
DNA_2_00000365_result,13,517,39.76923076923077,6,64
DNA_2_00000394_result,41,2204,53.75609756097561,3,66
